Index,Chinese Abbreviation,Chinese Full Name,English Abbreviation,English Full Name
1,创,创世纪,Gen,Genesis
2,出,出埃及记,Exo,Exodus
3,利,利未记,Lev,Leviticus
4,民,民数记,Num,Numbers
5,申,申命记,Deut,Deuteronomy
6,书,约书亚书,Josh,Joshua
7,士,士师记,Judg,Judges
8,得,路得记,Ruth,Ruth
9,撒上,撒母士记上,1 Sam,1 Samuel
10,撒下,撒母士记下,2 Sam,2 Samuel
11,王上,列王记上,1 Kgs,1 Kings
12,王下,列王记下,2 Kgs,2 Kings
13,代上,历代记上,1 Chro,1 Chronicles
14,代下,历代记下,2 Chro,2 Chronicles
15,拉,以斯拉记,Ezra,Ezra
16,尼,尼希米记,Neh,Nehemiah
17,斯,以斯帖记,Esth,Esther
18,伯,约伯记,Job,Job
19,诗,诗篇,Psa,Psalms
20,箴,箴言书,Prov,Proverbs
21,传,传道书,Eccl,Ecclesiastes
22,歌,雅歌,Songs,Songs of Solomon
23,赛,以赛亚书,Isa,Isaiah
24,耶,耶利米书,Jer,Jeremiah
25,哀,耶利米哀歌,Lam,Lamentations
26,结,以西结书,Ezek,Ezekiel
27,但,但以理书,Dan,Daniel
28,何,何西阿书,Hos,Hosea
29,珥,约珥书,Joel,Joel
30,摩,阿摩司书,Amos,Amos
31,俄,俄巴底亚书,Obad,Obadiah
32,拿,约拿书,Jonah,Jonah
33,弥,弥迦书,Mic,Micah
34,鸿,那鸿书,Nah,Nahum
35,哈,哈巴谷书,Hab,Habakkuk
36,番,西番雅书,Zeph,Zephaniah
37,该,哈该书,Hag,Haggai
38,亚,撒迦利亚书,Zech,Zechariah
39,玛,玛拉基书,Mal,Malachi
40,太,马太福音,Matt,Matthew
41,可,马可福音,Mark,Mark
42,路,路加福音,Luke,Luke
43,约,约翰福音,John,John
44,徒,使徒行传,Acts,Acts
45,罗,罗马书,Rom,Romans
46,林前,哥林多前书,1 Cor,1 Corinthians
47,林后,哥林多后书,2 Cor,2 Corinthians
48,加,加拉太书,Gal,Galatians
49,弗,以弗所书,Eph,Ephesians
50,腓,腓利比书,Phil,Philippians
51,西,歌罗西书,Col,Colossians
52,帖前,帖撒罗尼迦前书,1 Thess,1 Thessalonians
53,帖后,帖撒罗尼迦后书,2 Thess,2 Thessalonians
54,提前,提摩太前书,1 Tim,1 Timothy
55,提后,提摩太后书,2 Tim,2 Timothy
56,多,提多书,Titus,Titus
57,门,腓利门书,Phlm,Philemon
58,来,希伯来书,Heb,Hebrews
59,雅,雅各书,Jas,James
60,彼前,彼得前书,1 Pet,1 Peter
61,彼后,彼得后书,2 Pet,2 Peter
62,约壹,约翰一书,1 John,1 John
63,约贰,约翰二书,2 John,2 John
64,约叁,约翰三书,3 John,3 John
65,犹,犹大书,Jude,Jude
66,启,启示录,Rev,Revelation
